#New Hellenic Events;;;;;;;;;;;;;;x
VIET_nyx_devotee;Blessed by Nox;;;;;;;;;;;x
VIET_nyx_devotee_desc;There are those who say that this person, whether they like it or not, has received the blessing of the deity Nox, also known as Nyx to the Greeks.;;;;;;;;;;;x
VIET_aphrodites_dream_blessing;Blessed by Venus;;;;;;;;;;;x
VIET_aphrodites_dream_blessing_desc;Venus of the Myrtle, Venus the Changer of Hearts, Venus the Heavenly - she who is the goddess of beauty and love has graced this person with her blessing in a dream.;;;;;;;;;;;x
VIET_epona_statue;Epona Statue;;;;;;;;;;;x
VIET_epona_statue_desc;One of the towns in this province recently dedicated a new statue to the Gallo-Roman deity Epona, the goddess of horses, donkeys, and fertility.;;;;;;;;;;;x
VIET_greek_mythology_idle_thoughts;Idle Thoughts about Hellenic Myths;;;;;;;;;;;x
VIET_greek_mythology_idle_thoughts_desc;This character has been thinking about the Hellenic myths, though not in a particularly deep manner.;;;;;;;;;;;x
VIET_ceres_hanging;Hanging for Ceres;;;;;;;;;;;x
VIET_ceres_hanging_desc;Recently, a known farmer in this province attempted to use magical charms to curse the crops of his neighbor. Such an affront to the various deities, Ceres among them, meant that he had to be executed by hanging in the name of Ceres. Nevertheless, the fact that there are locals using dark magics, offending gods and mortals alike, is of great concern. There will be unrest for some time as the people living here are growing suspicious of one another.;;;;;;;;;;;x
VIET_glaucus_herb;Glaucus Herb;;;;;;;;;;;x
VIET_glaucus_herb_desc;Some superstitious locals believe they have discovered the herb known as 'dog's tooth' in various parts of this province. According to legend, this was the same herb that the fisherman Glaucus ate to become immortal.;;;;;;;;;;;x
VIET_glaucus_herb_good;Tried the Herb of Glaucus;;;;;;;;;;;x
VIET_glaucus_herb_good_desc;This character was foolish enough to try an herb that superstitious peasants thought to be the same 'dog's tooth' that gave the legendary fisherman Glaucus immortality. Fortunately, it seems that the herb did have some beneficial effects.;;;;;;;;;;;x
VIET_glaucus_herb_bad;Tried the Herb of Glaucus;;;;;;;;;;;x
VIET_glaucus_herb_bad_desc;This character was foolish enough to try an herb that superstitious peasants thought to be the same 'dog's tooth' that gave the legendary fisherman Glaucus immortality. Unfortunately, it seems that the herb had some negative effects.;;;;;;;;;;;x
VIET_flora_statue;Statue of Flora;;;;;;;;;;;x
VIET_flora_statue_desc;This character recently bought a statue of the goddess Flora to decorate their residence. It is quite beautiful! The craftsmanship looks excellent. Such a statue is surely a blessing.;;;;;;;;;;;x
VIET_flora_statue_lustful;Statue of Flora (for Nefarious Purposes);;;;;;;;;;;x
VIET_flora_statue_lustful_desc;This character recently bought a statue of the goddess Flora to decorate their residence. It is quite beautiful! The craftsmanship looks excellent. It seems this character, however, had baser, debauched reasons for purchasing such a statue of a nude young woman.;;;;;;;;;;;x
hellenic.530.desc;The greatest of the ancient Hellenic city states were Athens and Sparta, yet in comparing and contrasting them, one can easily see how they were very different. Today, you've come across two courtiers arguing about which one was better. Seeing you nearby, they ask for your input. Was it the mighty, warrior Spartans who were better? Or the crafty, philosophy-loving Athenians?;;;;;;;;;;;x
hellenic.530.a;Athens of course! An admirable, cultured people.;;;;;;;;;;;;;x
hellenic.530.b;Sparta, no doubt. Their armies were to be feared!;;;;;;;;;;;;;x
hellenic.530.c;They were both flawed and pathetic, for they had great hubris.;;;;;;;;;;;;;x
hellenic.530.d;Actually I have to go with Thebes.;;;;;;;;;;;;;x
hellenic.531.desc;There are a number of deities who are not popularly worshipped, but most of them are minor compared to the mightiest of the gods. Yet some are quite powerful. For instance you have been thinking about Nox, the goddess who is Night itself, is feared even by Jupiter. Perhaps it might do to show this underappreciated deity some devotion.;;;;;;;;;;;x
hellenic.531.a;Some prayers will do.;;;;;;;;;;;;;x
hellenic.531.b;I’ll dedicate a statue and praise her with ancient poetry.;;;;;;;;;;;;;x
hellenic.531.c;I'm just being superstitious. Enough!;;;;;;;;;;;;;x
VIET_nyx_poetry_praise;\n\nO Nox!\nEver shall this house throughout the circling periods of the year hold thee high in honour and in worship.\nBlack bulls of chosen beauty shall pay thee sacrifice.\nO goddess!\nVulcanus’ fire shall eat the lustral entrails, where-o'er the new milk streams.;;;;;;;;;;;;;x
hellenic.532.desc;Today you felt an unusual amount of lust, so alarming that you had to consult with the diviners as surely this was not a natural occurrence. They concluded that one of the so-called Erotes, lesser gods who were Venus’ sons and attendants, must have pranked you for some reason. You were given some spells to recite. Hopefully, they will repel the Erotes and their mischief.;;;;;;;;;;;x
hellenic.532.a;Let these spells work!;;;;;;;;;;;;;x
hellenic.532.b;On the other hand, I like feeling lustful.;;;;;;;;;;;;;x
hellenic.532.c;Wait, couldn't I just appeal to Venus herself?;;;;;;;;;;;;;x
hellenic.533.tooltip;Surely she will be able to help me. I will pray to her and make offerings.;;;;;;;;;;;x
hellenic.533.desc;Later that night, in your dreams, Venus appears before you. She is graceful, elegant, and beautiful beyond compare even as she apologizes to you about the Erotes. “Those sons of mine should not have been such a nuisance to you,” she says. “After all, I have no quarrel with you. Yet. Now, take this small token as appreciation for your wisdom in praying to me for help. You clearly know who is in charge.”\n\nWhen you wake up, you feel normal again, yet strangely, more confident and blessed. ;;;;;;;;;;;;;x
hellenic.533.a;What a mysterious dream!;;;;;;;;;;;;;x
hellenic.534.desc;You attend a minor religious ceremony when the priest performing the public prayer accidentally forgot to mention a couple of the prayer's beneficiaries. Professionals usually don't make such mistakes, but per Roman custom and belief, this cannot be ignored. Though it is almost done, the entire ritual must be redone if it is to be effective. Are you willing to sit through all that again?;;;;;;;;;;;x
hellenic.534.a;We all make mistakes - restart the ritual.;;;;;;;;;;;;;x
hellenic.534.b;If the priest messes up again I'll punish them!;;;;;;;;;;;x
hellenic.534.c;I don't want to sit through this again.;;;;;;;;;;;x
hellenic.534.d;Does it matter? It's just words.;;;;;;;;;;;x
hellenic.535.desc;A local town nearby has unveiled a new statue of Epona, the goddess of horses, donkeys, and fertility. Once a Gallic deity, she was adopted by the Romans as their own and is fast gaining popularity again.;;;;;;;;;;;x
hellenic.535.a;May she protect the locals.;;;;;;;;;;;;;x
