VIET_awkward_encounter_public;Awkward Encounter in Public;Rencontre maladroite en public;;;;;;;;;;;;x
VIET_awkward_encounter_public_desc;This character recently did something awkward in public, and not only that, everyone is gossiping about it!;Ce personnage a récemment fait quelque chose de bizarre en public, et pas seulement, tout le monde bavarde à ce sujet !;;;;;;;;;;;;x
VIET_constant_muslim_fasting;Frequent Fasting;Jeûne fréquent;;;;;;;;;;;;x
VIET_constant_muslim_fasting_desc;This pious Muslim fasts every now and then, even when it isn't Ramadan!;Ce pieux musulman jeûne de temps en temps, même quand ce n'est pas le Ramadan !;;;;;;;;;;;;x
VIET_remembering_childhood_love;Remembering Childhood Love;Souvenir de l'amour de l'enfance;;;;;;;;;;;;x
VIET_remembering_childhood_love_desc;We were so young, so innocent... and even now, so many years later, the memories of the laughter and joy we shared haunt me.;Nous étions si jeunes, si innocents ... et même maintenant, de nombreuses années plus tard, les souvenirs de rire et de joie que nous avons partagés me hantent.;;;;;;;;;;;;x
VIET_eating_baklava;Ate Baklava;A mangé Baklava;;;;;;;;;;;;x
VIET_eating_baklava_desc;This character recently had the good fortune of eating some of the most delicious baklava around.;Ce personnage a récemment eu la chance de manger l'un des baklava les plus délicieux qui soit.;;;;;;;;;;;;x
VIET_rewarded_oblivion_guard;Rewarded Dutiful Guard;Garde du mérite récompensée;;;;;;;;;;;;x
VIET_rewarded_oblivion_guard_desc;This ruler recently witnessed dutiful guard performing their duties most admirably, and rewarded them.;Ce souverain a récemment vu des gardes consciencieux s’acquitter de leurs fonctions avec la plus grande admiration et les récompenser.;;;;;;;;;;;;x
VIET_was_oblivion_guard;Was Dutiful Town Guard;Était un garde consciencieux de la ville;;;;;;;;;;;;x
VIET_was_oblivion_guard_desc;This character had humble origins as a town guard, but the experience was very formative to their zealous sense of justice.;Ce personnage avait des origines modestes en tant que garde de ville, mais l'expérience a été très déterminante pour son sens zélé de la justice.;;;;;;;;;;;;x
VIET_opinion_publically_chastised_me;Publically Chastised Me;M'a publiquement châtié;;;;;;;;;;;;x
VIET_opinion_inappropriate_speech;Inappropriate Speech;Discours inapproprié;;;;;;;;;;;;x
VIET_province_bridge_collapse;Recent Bridge Collapse;Effondrement récent d'un pont;;;;;;;;;;;;x
VIET_province_bridge_collapse_desc;A bridge recently collapsed in this region. It was a major one, serving as a major connector between various settlements and facilitating trade. Even the briefest interruption will have undesirable consequences to the local economy.;Un pont s'est récemment effondré dans cette région. C’était un important pont servant de lien majeur entre divers établissements et facilitant les échanges. Même la plus brève interruption aura des conséquences indésirables sur l'économie locale.;;;;;;;;;;;;x
VIET_helped_emergency_quickly;Quickly Aided Locals During Emergency;A aidés les locaux rapidement dans l'urgence;;;;;;;;;;;;x
VIET_helped_emergency_quickly_desc;This character used their leadership to help pull together the local populace during a recent emergency.;Ce personnage a utilisé son leadership pour aider à rassembler la population locale lors d'une urgence récente.;;;;;;;;;;;;x
VIET_ignored_emergency;Ignored Locals During Emergency;Locaux ignorés pendant l'urgence;;;;;;;;;;;;x
VIET_ignored_emergency_desc;Despite having the responsibility to do so, this character ignored the plight of the local populace under their protection during a recent emergency.;Bien qu'ayant la responsabilité de le faire, ce personnage a ignoré le sort tragique de la population locale sous sa protection lors d'une récente urgence.;;;;;;;;;;;;x
VIET_province_mysterious_colors;Mysterious Colors in the Sky;Couleurs mystérieuses dans le ciel;;;;;;;;;;;;x
VIET_province_mysterious_colors_desc;A strange phenomenon has been reported in the area - at random times during the day, the sky becomes unnatural colors such as pink. No one knows why this is happening.;Un phénomène étrange a été signalé dans la région - à des moments aléatoires de la journée, le ciel prend des couleurs peu naturelles comme le rose. Personne ne sait pourquoi cela se produit.;;;;;;;;;;;;x
VIET_province_haunted_ship;Haunted Ship in the Sky;Navire hanté dans le ciel;;;;;;;;;;;;x
VIET_province_haunted_ship_desc;Reports abound of a haunted ship, floating in the sky. It is most likely collective delusions and hallucinations, and nothing else.;Les rapports abondent sur un navire hanté, flottant dans le ciel. Ce sont très probablement des délires collectifs et des hallucinations, et rien d’autre.;;;;;;;;;;;;x
VIET_province_recent_sandstorm;Recent Sandstorm;Tempête de sable récente;;;;;;;;;;;;x
VIET_province_recent_sandstorm_desc;A sandstorm recently swept through the region, killing many and causing much damage.;Une tempête de sable a récemment balayé la région, faisant de nombreuses victimes et causant de nombreux dégâts.;;;;;;;;;;;;x
VIET_touched_poop;Got Hands Dirty;A les mains sales;;;;;;;;;;;;x
VIET_touched_poop_desc;This character recently got their hands in some unsanitary excrement due to their irrational dedication to their workaholic tendencies....;Ce personnage a récemment mis la main sur des excréments insalubres en raison de son dévouement irrationnel aux tendances de son bourreau de travail ....;;;;;;;;;;;;x
VIET_thinking_about_foreign_lands;Thinking About Foreign Lands;Pense aux terres étrangères;;;;;;;;;;;;x
VIET_thinking_about_foreign_lands_desc;This character has been contemplating the peoples, customs, and geographies of faraway realms as of late.;Ce personnage a récemment contemplé les peuples, les coutumes et les géographies de royaumes lointains.;;;;;;;;;;;;x
VIET_girl_power;Supports Female Empowerment;Soutient l'autonomisation des femmes;;;;;;;;;;;;x
VIET_girl_power_desc;"Things would surely be better if women were in charge... right?";"Les choses iraient sûrement mieux si les femmes étaient aux commandes ... pas vrai ?";;;;;;;;;;;;x
VIET_chinese_rumors;Tales from China;Contes de Chine;;;;;;;;;;;;x
VIET_chinese_rumors_desc;This character is interested in the latest news and stories from China. Whether these stories are true, of course, is another matter altogether.;Ce personnage s'intéresse aux dernières nouvelles et histoires de Chine. Que ces histoires soient vraies, bien sûr, est une autre question.;;;;;;;;;;;;x
VIET_sexist_against_women;Looks Down on Women;Regarde les femmes;;;;;;;;;;;;x
VIET_sexist_against_women_desc;"I have nothing against women - why, my own mother was a woman! They are merely inferior to men. It's just logical!";"Je n'ai rien contre les femmes. Pourquoi cela serait le cas, ma propre mère était une femme ! Elles sont simplement inférieures aux hommes. C'est tout simplement logique !";;;;;;;;;;;;x
